"Period,Period Label,CommodityProduct,CommodityProduct Label,""Growth rate, year-on-year"",""Growth rate, year-on-year Footnote"",Growth rate (over previous period),Growth rate (over previous period) Footnote,Index Base 2015,Index Base 2015 Footnote"
"1996M01,""Jan. 1996"",IN0001.06,""Agricultural raw materials"",-10.18912,,-3.94221,,93.08,"
"1996M01,""Jan. 1996"",IN0001.07,""Minerals, ores and metals"",-3.24846,,-0.47415,,44.08,"
"1996M01,""Jan. 1996"",IN0001.08,""Minerals, ores and non-precious metals "",-9.38663,,-3.18174,,55.99,"
"1996M01,""Jan. 1996"",IN0001.09,""Precious metals "",5.95784,,3.27576,,34.68,"
"1996M01,""Jan. 1996"",IN0001.10,""Fuels "",17.95017,,1.36253,,41.66,"
"1996M01,""Jan. 1996"",IN0001.20,""All groups"",6.32196,,0.74105,,48.94,"
"1996M01,""Jan. 1996"",IN0001.22,""All groups excl. fuels"",-4.21136,,0.06591,,60.73,"
"1996M01,""Jan. 1996"",IN0001.23,""All groups excl. precious metals"",6.33626,,0.51394,,50.85,"
"1996M01,""Jan. 1996"",IN0001.24,""All groups excl. precious metals and fuels "",-6.15205,,-0.60357,,72.46,"
"1996M02,""Feb. 1996"",IN0001.01,""All food "",-0.46083,,2.01685,,79.92,"
"1996M02,""Feb. 1996"",IN0001.02,""Food "",3.03106,,2.08,,82.94,"
"1996M02,""Feb. 1996"",IN0001.03,""Tropical beverages"",-18.14271,,9.01342,,78.01,"
"1996M02,""Feb. 1996"",IN0001.04,""Vegetable oilseeds and oils "",6.10815,,-1.82761,,75.74,"
"1996M02,""Feb. 1996"",IN0001.05,""Tropical beverages and food "",-2.87582,,3.63936,,81.73,"
"1996M02,""Feb. 1996"",IN0001.06,""Agricultural raw materials"",-8.67527,,2.57843,,95.48,"
"1996M02,""Feb. 1996"",IN0001.07,""Minerals, ores and metals"",0.47684,,0.38566,,44.25,"
"1996M02,""Feb. 1996"",IN0001.08,""Minerals, ores and non-precious metals "",-4.81475,,-0.42865,,55.75,"
"1996M02,""Feb. 1996"",IN0001.09,""Precious metals "",8.04916,,1.41292,,35.17,"
"1996M02,""Feb. 1996"",IN0001.10,""Fuels "",27.09021,,10.92175,,46.21,"
"1996M02,""Feb. 1996"",IN0001.20,""All groups"",12.41096,,6.41602,,52.08,"
"1996M02,""Feb. 1996"",IN0001.22,""All groups excl. fuels"",-1.42423,,1.43257,,61.6,"
"1996M02,""Feb. 1996"",IN0001.23,""All groups excl. precious metals"",12.80614,,6.88299,,54.35,"
"1996M02,""Feb. 1996"",IN0001.24,""All groups excl. precious metals and fuels "",-3.23855,,1.43527,,73.5,"
"1996M03,""Mar. 1996"",IN0001.01,""All food "",-3.1003,,-0.27528,,79.7,"
"1996M03,""Mar. 1996"",IN0001.02,""Food "",2.70933,,1.01278,,83.78,"
"1996M03,""Mar. 1996"",IN0001.03,""Tropical beverages"",-24.42626,,-2.90988,,75.74,"
"1996M03,""Mar. 1996"",IN0001.04,""Vegetable oilseeds and oils "",2.28142,,-1.14867,,74.87,"
"1996M03,""Mar. 1996"",IN0001.05,""Tropical beverages and food "",-5.06035,,0.08565,,81.8,"
"1996M03,""Mar. 1996"",IN0001.06,""Agricultural raw materials"",-17.94065,,-4.43025,,91.25,"
"1996M03,""Mar. 1996"",IN0001.07,""Minerals, ores and metals"",0.89286,,-0.40678,,44.07,"
"1996M03,""Mar. 1996"",IN0001.08,""Minerals, ores and non-precious metals "",-1.69432,,0.95067,,56.28,"
"1996M03,""Mar. 1996"",IN0001.09,""Precious metals "",4.45995,,-2.10407,,34.43,"
"1996M03,""Mar. 1996"",IN0001.10,""Fuels "",20.532,,-5.86453,,43.5,"
"1996M03,""Mar. 1996"",IN0001.20,""All groups"",7.70552,,-3.64823,,50.18,"
"1996M03,""Mar. 1996"",IN0001.22,""All groups excl. fuels"",-4.07169,,-0.94156,,61.02,"
"1996M03,""Mar. 1996"",IN0001.23,""All groups excl. precious metals"",8.01322,,-3.77185,,52.3,"
"1996M03,""Mar. 1996"",IN0001.24,""All groups excl. precious metals and fuels "",-5.70986,,-0.69388,,72.99,"
"1996M04,""Apr. 1996"",IN0001.01,""All food "",1.15845,,1.8946,,81.21,"
"1996M04,""Apr. 1996"",IN0001.02,""Food "",4.61674,,-0.4655,,83.39,"
"1996M04,""Apr. 1996"",IN0001.03,""Tropical beverages"",-22.51325,,0.38289,,76.03,"
"1996M04,""Apr. 1996"",IN0001.04,""Vegetable oilseeds and oils "",12.9903,,7.34607,,80.37,"
"1996M04,""Apr. 1996"",IN0001.05,""Tropical beverages and food "",-3.15764,,-0.26895,,81.58,"
"1996M04,""Apr. 1996"",IN0001.06,""Agricultural raw materials"",-16.59372,,-1.8411,,89.57,"
"1996M04,""Apr. 1996"",IN0001.07,""Minerals, ores and metals"",-1.07889,,-0.13615,,44.01,"
"1996M04,""Apr. 1996"",IN0001.08,""Minerals, ores and non-precious metals "",-1.65189,,0.49751,,56.56,"
"1996M04,""Apr. 1996"",IN0001.09,""Precious metals "",-0.29248,,-0.98751,,34.09,"
"1996M04,""Apr. 1996"",IN0001.10,""Fuels "",12.01459,,-1.1954,,42.98,"
"1996M04,""Apr. 1996"",IN0001.20,""All groups"",4.62633,,-0.39857,,49.98,"
"1996M04,""Apr. 1996"",IN0001.22,""All groups excl. fuels"",-2.65037,,0.52442,,61.34,"
"1996M04,""Apr. 1996"",IN0001.23,""All groups excl. precious metals"",5.10184,,-0.34417,,52.12,"
"1996M04,""Apr. 1996"",IN0001.24,""All groups excl. precious metals and fuels "",-3.11924,,0.84943,,73.61,"
"1996M05,""May  1996"",IN0001.01,""All food "",3.02387,,1.52691,,82.45,"
"1996M05,""May  1996"",IN0001.02,""Food "",5.16876,,1.25914,,84.44,"
"1996M05,""May  1996"",IN0001.03,""Tropical beverages"",-18.14478,,3.06458,,78.36,"
"1996M05,""May  1996"",IN0001.04,""Vegetable oilseeds and oils "",15.08633,,1.18203,,81.32,"
"1996M05,""May  1996"",IN0001.05,""Tropical beverages and food "",-1.36758,,1.66708,,82.94,"
"1996M05,""May  1996"",IN0001.06,""Agricultural raw materials"",-13.49402,,1.77515,,91.16,"
"1996M05,""May  1996"",IN0001.07,""Minerals, ores and metals"",1.33058,,0.36355,,44.17,"
"1996M05,""May  1996"",IN0001.08,""Minerals, ores and non-precious metals "",1.71154,,0.86634,,57.05,"
"1996M05,""May  1996"",IN0001.09,""Precious metals "",0.80071,,-0.29334,,33.99,"
"1996M05,""May  1996"",IN0001.10,""Fuels "",6.80504,,-5.42113,,40.65,"
"1996M05,""May  1996"",IN0001.20,""All groups"",3.21489,,-2.36094,,48.8,"
"1996M05,""May  1996"",IN0001.22,""All groups excl. fuels"",-0.33746,,1.10858,,62.02,"
"1996M05,""May  1996"",IN0001.23,""All groups excl. precious metals"",3.44196,,-2.5518,,50.79,"
"1996M05,""May  1996"",IN0001.24,""All groups excl. precious metals and fuels "",-0.5728,,1.39927,,74.64,"
"1996M06,""June 1996"",IN0001.01,""All food "",0.53317,,-1.66161,,81.08,"
