Period,Period Label,Year,Frequency,Frequency Label,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",01,""Passenger ships"",268720,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",02,""Liquid bulk carriers"",26732,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",03,""Container ships"",21948,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",04,""Dry breakbulk carriers"",11394,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",05,""Dry bulk carriers"",29272,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",06,""Roll-on/ roll-off ships"",11133,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",07,""Liquefied petroleum gas carriers"",1787,"
"2018A00,""2018"",2018,A,""Annual"",1120,""Developed economies: America"",08,""Liquefied natural gas carriers"",470,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",00,""All ships"",271046,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",01,""Passenger ships"",85255,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",02,""Liquid bulk carriers"",44996,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",03,""Container ships"",40378,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",04,""Dry breakbulk carriers"",28624,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",05,""Dry bulk carriers"",29665,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",06,""Roll-on/ roll-off ships"",33707,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",07,""Liquefied petroleum gas carriers"",6398,"
"2018A00,""2018"",2018,A,""Annual"",1130,""Developed economies: Asia"",08,""Liquefied natural gas carriers"",2023,"
"2018A00,""2018"",2018,A,""Annual"",1140,""Developed economies: Europe"",00,""All ships"",2016673,"
"2018A00,""2018"",2018,A,""Annual"",1140,""Developed economies: Europe"",01,""Passenger ships"",1446514,"
"2018A00,""2018"",2018,A,""Annual"",1140,""Developed economies: Europe"",02,""Liquid bulk carriers"",159042,"
"2018A00,""2018"",2018,A,""Annual"",1140,""Developed economies: Europe"",03,""Container ships"",91636,"
"2018A00,""2018"",2018,A,""Annual"",1140,""Developed economies: Europe"",04,""Dry breakbulk carriers"",191868,"
"2018A00,""2018"",2018,A,""Annual"",1140,""Developed economies: Europe"",05,""Dry bulk carriers"",28067,"
"2018A00,""2018"",2018,A,""Annual"",1140,""Developed economies: Europe"",06,""Roll-on/ roll-off ships"",84148,"
"2018A00,""2018"",2018,A,""Annual"",1140,""Developed economies: Europe"",07,""Liquefied petroleum gas carriers"",13784,"
"2018A00,""2018"",2018,A,""Annual"",1140,""Developed economies: Europe"",08,""Liquefied natural gas carriers"",1614,"
"2018A00,""2018"",2018,A,""Annual"",1150,""Developed economies: Oceania"",00,""All ships"",76015,"
"2018A00,""2018"",2018,A,""Annual"",1150,""Developed economies: Oceania"",01,""Passenger ships"",39255,"
"2018A00,""2018"",2018,A,""Annual"",1150,""Developed economies: Oceania"",02,""Liquid bulk carriers"",4647,"
"2018A00,""2018"",2018,A,""Annual"",1150,""Developed economies: Oceania"",03,""Container ships"",7484,"
"2018A00,""2018"",2018,A,""Annual"",1150,""Developed economies: Oceania"",04,""Dry breakbulk carriers"",3091,"
"2018A00,""2018"",2018,A,""Annual"",1150,""Developed economies: Oceania"",05,""Dry bulk carriers"",16646,"
"2018A00,""2018"",2018,A,""Annual"",1150,""Developed economies: Oceania"",06,""Roll-on/ roll-off ships"",3479,"
"2018A00,""2018"",2018,A,""Annual"",1150,""Developed economies: Oceania"",07,""Liquefied petroleum gas carriers"",360,"
"2018A00,""2018"",2018,A,""Annual"",1150,""Developed economies: Oceania"",08,""Liquefied natural gas carriers"",1053,"
"2018A00,""2018"",2018,A,""Annual"",116,""Cambodia"",00,""All ships"",239,"
"2018A00,""2018"",2018,A,""Annual"",116,""Cambodia"",01,""Passenger ships"",15,"
"2018A00,""2018"",2018,A,""Annual"",116,""Cambodia"",02,""Liquid bulk carriers"",41,"
"2018A00,""2018"",2018,A,""Annual"",116,""Cambodia"",03,""Container ships"",158,"
"2018A00,""2018"",2018,A,""Annual"",116,""Cambodia"",04,""Dry breakbulk carriers"",25,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",00,""All ships"",1133,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",02,""Liquid bulk carriers"",234,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",03,""Container ships"",255,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",04,""Dry breakbulk carriers"",293,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",05,""Dry bulk carriers"",250,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",06,""Roll-on/ roll-off ships"",77,"
"2018A00,""2018"",2018,A,""Annual"",120,""Cameroon"",07,""Liquefied petroleum gas carriers"",24,"
"2018A00,""2018"",2018,A,""Annual"",1200,""Developing economies"",00,""All ships"",1267415,"
"2018A00,""2018"",2018,A,""Annual"",1200,""Developing economies"",01,""Passenger ships"",362624,"
"2018A00,""2018"",2018,A,""Annual"",1200,""Developing economies"",02,""Liquid bulk carriers"",231935,"
"2018A00,""2018"",2018,A,""Annual"",1200,""Developing economies"",03,""Container ships"",287522,"
"2018A00,""2018"",2018,A,""Annual"",1200,""Developing economies"",04,""Dry breakbulk carriers"",157564,"
"2018A00,""2018"",2018,A,""Annual"",1200,""Developing economies"",05,""Dry bulk carriers"",146530,"
"2018A00,""2018"",2018,A,""Annual"",1200,""Developing economies"",06,""Roll-on/ roll-off ships"",49717,"
"2018A00,""2018"",2018,A,""Annual"",1200,""Developing economies"",07,""Liquefied petroleum gas carriers"",26327,"
"2018A00,""2018"",2018,A,""Annual"",1200,""Developing economies"",08,""Liquefied natural gas carriers"",5196,"
"2018A00,""2018"",2018,A,""Annual"",1210,""Developing economies: Africa"",00,""All ships"",93340,"
"2018A00,""2018"",2018,A,""Annual"",1210,""Developing economies: Africa"",01,""Passenger ships"",19874,"
"2018A00,""2018"",2018,A,""Annual"",1210,""Developing economies: Africa"",02,""Liquid bulk carriers"",12477,"
"2018A00,""2018"",2018,A,""Annual"",1210,""Developing economies: Africa"",03,""Container ships"",21712,"
"2018A00,""2018"",2018,A,""Annual"",1210,""Developing economies: Africa"",04,""Dry breakbulk carriers"",16206,"
"2018A00,""2018"",2018,A,""Annual"",1210,""Developing economies: Africa"",05,""Dry bulk carriers"",13309,"
"2018A00,""2018"",2018,A,""Annual"",1210,""Developing economies: Africa"",06,""Roll-on/ roll-off ships"",7227,"
"2018A00,""2018"",2018,A,""Annual"",1210,""Developing economies: Africa"",07,""Liquefied petroleum gas carriers"",1954,"
