MEASURE - Metric tons in millions

",YEAR,""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"""
"  Latin America and the Caribbean,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",264.3243,275.9044,288.7418,234.0023,262.6342,325.86,374.2206,396.6805,406.7765,421.6782,385.8183,419.2397,441.754,435.127"
"  Latin America and the Caribbean,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",399.5744,415.9432,432.837,371.906,408.5366,470.8164,532.3938000000001,555.4224,571.7054000000001,589.5596000000001,565.9734999999999,608.1727,638.0755,621.7487"
"Asia,""Crude oil loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",921.2123,938.1784,902.7282,872.2754,932.9406,907.7858,905.7702000000001,909.3871,899.362,948.011,999.061,996.9165,971.3204,923.858"
"Asia,""Other tanker trade loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",367.0535,372.5216,359.6006,365.0326,372.6523,405.0383,412.5999,449.0058,481.0916,530.9106,606.6972,608.2826,623.0349,615.895"
"Asia,""Dry cargo loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",1948.217,2079.788,2124.499,1976.332,2060.996,2169.564,2343.215,2497.595,2635.927,2594.929,2630.092,2785.993,2894.512,2927.952"
"Asia,""Total goods loaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",3236.483,3390.488,3386.827,3213.64,3366.589,3482.388,3661.585,3855.988,4016.381,4073.851,4235.85,4391.192,4488.868,4467.705"
"Asia,""Crude oil unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",771.9752,833.9400000000001,820.2886,827.0593,857.7079,884.9471,916.6562,956.7048,971.5984,999.4584,1097.081,1151.024,1193.554,1193.37"
"Asia,""Other tanker trade unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",333.2408,349.2239,379.6025,372.1937,410.6464,441.8967,457.074,474.4026,480.1736,555.3955,610.3305,641.7615,672.6702,686.8045"
"Asia,""Dry cargo unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",2674.182,2866.518,3071.539,3113.505,3358.597,3559.613,3817.322,4118.268,4301.895,4340.681,4473.588,4740.263,4869.898,4982.793"
"Asia,""Total goods unloaded"","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."","".."",3779.398,4049.682,4271.43,4312.758,4626.952,4886.457,5191.052,5549.376,5753.667,5895.535,6180.999,6533.049,6736.122,6862.967"
