iter	Passed	Remaining
764	5986	1839
765	5994	1831
766	6004	1824
767	6013	1816
768	6022	1809
769	6030	1801
770	6038	1793
771	6046	1785
772	6055	1778
773	6063	1770
774	6072	1762
775	6080	1755
776	6088	1747
777	6095	1739
778	6103	1731
779	6110	1723
780	6117	1715
781	6125	1707
782	6132	1699
783	6140	1691
784	6146	1683
785	6156	1676
786	6162	1667
787	6171	1660
788	6181	1653
789	6190	1645
790	6198	1637
791	6206	1629
792	6215	1622
793	6225	1615
794	6235	1607
795	6243	1600
796	6251	1592
797	6292	1592
798	6308	1586
799	6324	1581
800	6332	1573
801	6338	1564
802	6347	1557
803	6354	1549
804	6366	1542
805	6375	1534
806	6383	1526
807	6394	1519
808	6406	1512
809	6416	1505
810	6425	1497
811	6433	1489
812	6443	1482
813	6450	1473
814	6458	1465
815	6465	1457
816	6472	1449
817	6479	1441
818	6487	1433
819	6495	1425
820	6502	1417
821	6509	1409
822	6516	1401
823	6524	1393
824	6533	1385
825	6547	1379
826	6555	1371
827	6563	1363
828	6571	1355
829	6580	1347
830	6588	1339
831	6597	1332
832	6604	1324
833	6615	1316
834	6624	1309
835	6632	1301
836	6639	1293
837	6648	1285
838	6655	1277
839	6664	1269
840	6671	1261
841	6679	1253
842	6686	1245
843	6694	1237
844	6701	1229
845	6709	1221
846	6719	1213
847	6728	1206
848	6736	1198
849	6744	1190
850	6753	1182
851	6761	1174
852	6770	1166
853	6780	1159
854	6789	1151
855	6798	1143
856	6805	1135
857	6812	1127
858	6820	1119
859	6827	1111
860	6836	1103
861	6844	1095
862	6853	1088
863	6860	1079
864	6868	1072
865	6874	1063
866	6882	1055
867	6890	1047
868	6900	1040
869	6909	1032
870	6917	1024
871	6927	1016
872	6936	1009
873	6944	1001
874	6953	993
875	6963	985
876	6973	978
877	6980	969
878	6988	962
879	6995	953
880	7002	945
881	7009	937
882	7017	929
883	7024	921
884	7032	913
885	7040	905
886	7047	897
887	7055	889
888	7062	881
889	7074	874
890	7084	866
891	7092	858
892	7102	850
893	7110	843
894	7119	835
895	7128	827
896	7137	819
897	7145	811
898	7156	804
899	7165	796
900	7172	788
901	7179	780
902	7187	772
903	7194	764
904	7201	755
905	7209	748
906	7217	740
907	7224	732
908	7231	723
909	7238	715
910	7249	708
911	7258	700
912	7266	692
913	7275	684
914	7283	676
915	7292	668
916	7301	660
917	7309	652
918	7317	644
919	7325	637
920	7332	628
921	7340	620
922	7348	613
923	7355	604
924	7362	596
925	7370	588
926	7378	581
927	7388	573
928	7396	565
929	7405	557
930	7412	549
931	7419	541
932	7467	536
933	7486	529
934	7496	521
935	7505	513
936	7514	505
937	7522	497
938	7531	489
939	7538	481
940	7546	473
941	7553	465
942	7561	457
943	7569	449
944	7577	440
945	7584	432
946	7593	424
947	7601	416
948	7611	409
949	7619	401
950	7627	393
951	7637	385
952	7644	377
953	7652	368
954	7660	360
955	7669	353
956	7678	345
957	7688	337
958	7696	329
959	7704	321
960	7710	312
961	7718	304
962	7725	296
963	7733	288
964	7740	280
965	7747	272
966	7754	264
967	7762	256
968	7769	248
969	7776	240
970	7785	232
971	7800	224
972	7807	216
973	7816	208
974	7826	200
975	7836	192
976	7846	184
977	7854	176
978	7864	168
979	7874	160
980	7883	152
981	7890	144
982	7897	136
983	7905	128
984	7911	120
985	7918	112
986	7926	104
987	7933	96
988	7940	88
989	7947	80
990	7954	72
991	7960	64
992	7968	56
993	7978	48
994	7987	40
995	7994	32
996	8003	24
997	8012	16
998	8021	8
999	8031	0
